;Abu Dhabi;Abuja;Accra;Addis Ababa;Algiers;Amman;Amsterdam/The Hague (seat of Gvnt);Andorra la Vella;Ankara;Antananarivo;Apia;Ashgabat;Asmara;Astana;Athens;Baghdad;Baku;Bamako;Bandar Seri Begawan;Bangkok;Bangui;Banjul;Basseterre;Basse-Terre;Beijing;Beirut;Belgrade;Belmopan;Bern;Bishkek;Bissau;Bogota;Bratislava;Brazzaville;Bridgetown;Brussels;Bucuresti;Budapest;Buenos Aires;Bujumbura;Cairo;Canberra;Caracas;Castries;Cayenne;Charlotte Amalie;Chisinau;Conakry;Copenhagen;Dakar;Damascus;Dhaka;Dili;Djibouti;Dodoma;Doha;Dublin;Dushanbe;Fort-de-France;Funafuti;Gaborone;George Town;Georgetown;Guatemala;Hanoi;Harare;Havana;Helsinki;Honiara;Islamabad;Jakarta;Jerusalem;Kabul;Kampala;Kathmandu;Khartoum;Kiev (Rus);Kingston;Kingstown;Kinshasa;Kuala Lumpur;Kuwait;La Paz (adm.)/sucre (legislative);Libreville;Lilongwe;Lima;Lisbon;Ljubljana;Lome;London;Luanda;Lusaka;Luxembourg;Macau;Madrid;Malabo;Male;Mamoudzou;Managua;Manama;Manila;Maputo;Maseru;Masqat;Mbabane (Adm.);Mexico;Minsk;Mogadishu;Monrovia;Montevideo;Moroni;Moskva;Nairobi;Nassau;N'Djamena;New Delhi;Niamey;Nicosia;Noumea;Nuku'alofa;Nuuk;Oranjestad;Oslo;Ottawa;Ouagadougou;Pago Pago;Palikir;Panama;Papeete;Paramaribo;Paris;Phnom Penh;Port Moresby;Port-au-Prince;Porto-Novo (constitutional cotonou) (seat of gvnt);Prague;Praia;Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial);P'yongyang;Quito;Reykjavik;Riga;Riyadh;Road Town;Rome;Saint-Pierre;Saipan;San Jose;San Juan;San Marino;San Salvador;Santiago;Santo Domingo;Sao Tome;Sarajevo;Seoul;Skopje;Sofia;St. Peter Port;Stanley;Stockholm;Suva;Tallinn;Tarawa;Tashkent;T'bilisi;Tegucigalpa;Tehran;Thimphu;Tirane;Torshavn;Tripoli;Tunis;Vaduz;Valletta;Vienna;Vientiane;Vilnius;Warsaw;Washington DC;Wellington;Willemstad;Windhoek;Yamoussoukro;Yangon;Yaounde;Yerevan;Zagreb
Abu Dhabi;0;5577.875431;5118.658394;3354.771271;4822.610889;3554.762032;5016.339542;5093.232782;3659.537943;9256.010992;14250.2013;3130.721236;1911.591873;2676.994414;4109.440236;1349.486066;501.1884302;4491.500749;5638.275636;4452.778079;3643.45134;3716.275635;1472.896726;3202.528247;5729.681571;3189.382139;3768.944689;3640.233156;4872.295597;3318.002342;3914.903692;2016.037167;4349.786091;5875.222097;2612.255405;4869.342435;2758.65914;3410.43976;6482.552377;5585.96791;3874.268275;11266.52981;1187.768028;2961.380084;2566.929004;1275.951523;3999.025628;3988.867362;4066.686363;3570.340897;1763.264477;3624.239994;9858.589968;2556.882168;4495.088251;1478.689255;4889.643291;1450.790328;1107.264505;14740.13778;8635.354859;2876.694481;2470.390568;3548.124995;5953.483243;8240.041989;3685.921243;3318.739096;12749.82979;2194.424171;6939.319722;2682.465776;1576.491628;2401.169793;3322.696704;2152.080893;2341.036071;13332.72127;2131.688896;6789.033166;5346.864854;624.5257878;5547.178936;4466.812828;3835.320613;3963.410508;4328.037005;5001.833585;5923.227591;5106.153;9572.22179;6817.663743;4563.528501;6356.722314;5051.010803;4452.778079;3715.009172;8500.924916;4166.796238;2045.303617;6175.795308;9782.89219;5884.468483;1068.742786;5684.147958;4632.225067;3483.367008;3046.010201;4614.231441;8677.900349;7648.571801;2415.477851;5367.530756;3528.651116;4628.68022;2370.15677;5091.327654;2970.71845;13010.43349;13467.68645;2026.504003;1602.315408;4616.718263;2072.277954;5627.695846;13357.96324;8320.641897;4098.539168;12046.14056;2448.447716;4987.613535;4779.696446;11510.08747;2122.58148;5211.7365;4936.188809;4382.078411;8434.69866;7681.476683;5436.894429;3985.043769;3711.833604;1619.451865;992.5503603;4454.540053;2009.7637;9483.780212;3848.200179;1178.00715;4499.564714;3464.572347;6032.728617;1474.954676;5388.221714;3996.433225;6851.203859;4619.475185;3322.696704;5118.834724;7581.066055;3749.984474;13646.44755;3088.508241;10879.60514;1762.545702;1894.967642;4323.063693;1799.635183;3390.786607;3736.943008;5671.261236;4190.430366;4430.663818;5213.663268;4335.504536;4327.377329;4968.05131;2909.602938;3803.36323;13022.23647;13877.56899;3009.740288;8012.759625;4754.690557;4143.828115;4362.39024;2258.675145;4093.422255
Abuja;5577.875431;0;3413.515818;3457.162616;4134.430118;6282.634285;2027.82954;2959.15882;6185.259374;7620.24491;14795.72987;5581.634122;3704.399501;7069.949649;6056.64728;4334.996058;5159.752552;3225.561404;10782.37817;9852.542866;2324.55493;2729.428926;6130.411042;6023.819102;10742.51035;5917.784555;5151.428573;8888.416407;5783.765276;8073.278115;4516.590788;7585.16958;1234.693381;1792.097271;5760.12053;5124.015031;3169.839302;2953.612962;6851.524694;3364.393038;2702.049393;15720.25317;6762.140424;5891.907735;4985.098338;6392.005287;2354.836368;2743.255654;4035.060862;3386.827552;4120.632;9062.226379;12994.24701;3881.003332;3426.54033;4935.988324;1782.892082;7017.790359;6488.415292;17010.28905;5842.995507;8149.708858;6894.052623;9057.108207;10844.51881;5860.390129;8284.925547;2261.143086;16173.98013;7619.586838;11083.21528;5385.967933;7132.44344;3177.927684;8674.520423;3896.942457;3681.516356;17372.99128;5974.636712;2915.005469;10361.05206;5116.141666;7219.780326;2234.750565;2941.212389;7794.662078;4120.144645;784.0995937;797.8092741;3521.639267;6144.693579;4306.307521;3560.697129;11623.71869;2265.149124;4450.113773;7351.725764;6960.563153;8739.168531;4770.730101;11649.42218;7356.317053;3370.511306;6275.110402;3671.355443;10028.59548;5542.795931;4231.099812;1482.276962;7708.920436;6211.98149;5317.045108;4017.987668;7751.908814;951.1762864;7903.846719;2503.811532;2919.216315;17372.15617;18483.55857;4880.083836;7179.634001;5567.824452;7580.778372;1291.453799;17797.91254;12831.44232;8016.168237;15059.01406;6708.566863;5027.104504;10356.90074;15249.68081;7536.360692;2072.827815;775.6173711;1807.146605;5841.778495;12972.7868;8130.517658;1640.410126;5560.093019;5572.291688;6503.000989;5468.877364;6550.006199;15005.7442;8727.609136;6718.091932;5579.37972;8971.916751;7542.017511;7045.713955;566.951833;5325.131696;12419.4899;1617.110166;4713.145712;2395.609;7291.526792;2049.575002;19018.13193;2631.574855;15851.54164;6897.343698;5573.657587;8857.457711;6098.381365;8962.231329;1947.532969;110.8029951;4926.713711;5013.085646;400.2259716;5486.849294;1258.978721;9832.522955;4098.2516;1775.603055;10528.37939;17919.90774;6866.905563;4570.588137;4897.606619;9538.842029;5019.224076;4115.281556;5061.100571
Accra;5118.658394;3413.515818;0;5373.127932;821.0569863;3577.814798;1389.892178;454.5700947;3420.390698;10966.11314;18199.53522;7063.263375;4131.909529;7648.16798;3072.681614;4606.92274;4624.050332;651.0744621;8473.367238;8035.20291;2195.462892;1702.472932;6409.383111;7407.77345;8308.560344;3388.967696;2325.217157;8698.299327;2502.942998;5935.324692;1689.312815;6615.084722;3272.067352;5141.933768;6890.194749;1808.426442;2624.331991;1908.549748;9577.221056;6446.054852;4960.440038;16212.22226;6103.792848;7182.330993;6280.807391;6369.076159;4674.355082;1394.344197;1243.858952;1560.373187;3403.922887;7449.063719;14854.48529;5221.947211;6030.853216;5531.234189;1663.942404;6147.192528;5430.064344;19566.15586;9247.766199;7957.477161;4902.487135;7604.014656;11042.2557;9228.743912;8774.459827;3342.720033;17835.62414;6282.631823;12037.3729;3192.606817;6190.728594;3548.250334;6992.423227;3005.011173;2857.409026;17978.78939;6741.801729;6319.291808;10422.65251;4494.174902;9422.089017;1408.713338;5183.922323;8829.304398;1103.283265;3737.512914;2893.673496;111.2262553;9540.513933;7599.610084;583.7914265;11253.40984;1149.001624;1302.982349;8469.117697;10256.86808;9264.425455;5763.680439;9720.314089;10766.00804;6548.477932;5141.133649;6742.973051;9527.102809;2854.690012;5918.278946;2133.746729;10937.34706;9434.488039;3309.327901;6920.674906;8508.067717;3122.503336;6729.721364;909.9429916;4347.77681;17584.0365;17174.16037;5851.287094;6363.387681;2353.925974;7040.739925;2226.769454;17684.53856;9792.291827;9010.184085;17137.75915;4688.13037;1676.273456;9075.359886;16619.16955;6202.458079;1348.721995;3633.854515;4373.692386;9231.993145;12455.47122;9908.039759;3502.572258;2748.384057;4039.399379;6064.576782;2310.430235;4787.953355;13623.66011;6533.160636;6195.830777;2408.558478;7528.755754;9866.005049;6367.382649;2846.565587;2370.341155;10759.61623;4363.15733;2241.801959;1019.144903;10300.41187;2428.749909;16788.6471;2744.247923;12753.88783;6877.556146;3859.737528;9418.765431;4417.015856;8017.328138;2664.49028;3393.330858;1886.107749;1855.1708;3140.406933;2377.435608;3024.666016;7414.463152;2253.071408;3231.460076;13877.6192;18145.5057;7783.049662;7983.594558;1610.155206;7765.386704;1892.000513;5245.918789;2064.488844
Addis Ababa;3354.771271;3457.162616;5373.127932;0;5652.753963;6123.245528;4346.337477;5049.951742;6140.612035;6393.378234;13091.37031;2124.544577;1890.84634;3753.6938;6366.393139;2105.585866;3221.255406;4798.100528;8948.137566;7687.753512;3179.499181;3718.515186;3109.557556;2567.334202;9065.202809;5679.295298;5603.606909;5734.461796;6704.207093;6647.989929;5286.823144;5159.200342;2485.585419;2827.771152;2354.836368;6310.251795;3060.954556;3614.929463;4257.399384;2233.147655;786.214144;12322.99434;4292.122712;2445.468413;1589.487867;3522.461388;1111.583269;4003.121668;5061.669069;4174.500947;3121.484546;6864.793494;9826.631751;801.0110348;1160.982393;2031.315292;4060.949447;4654.998925;4461.73162;14808.04813;5383.690895;5079.921975;5663.76811;6719.327498;7443.033522;5054.095027;4917.555395;2031.315292;13160.80633;5504.781659;7634.002241;5013.594379;4798.882092;2105.585866;6624.681771;3286.719414;3226.811002;14236.39196;2693.102074;3504.990483;7010.136481;3288.37535;4086.374006;4026.599469;598.8667843;4342.61577;5306.242171;2674.846697;4166.495647;5436.731783;6257.21465;3503.877642;5087.877618;8332.427254;4540.900446;5611.978485;3898.459759;5602.667481;5342.486395;1597.100516;9271.161096;6694.903613;2529.924196;4399.513169;2352.984804;6912.189735;5654.784493;778.1089046;3535.623706;6034.254347;4699.181867;4783.734621;2124.665624;4341.743421;2797.631807;5573.833453;4736.851885;1047.448712;14100.15804;15078.34138;1689.997494;4727.455013;6415.002133;4823.273144;4308.989918;14540.12169;11673.52202;4564.740554;12101.12268;5575.663424;6326.172496;7664.028124;12028.64496;5441.073821;4529.327792;2684.884042;1667.37165;5212.470318;9646.153189;4791.086222;2078.885405;5817.714958;4411.629256;3925.735758;6251.569452;5198.26531;11809.31749;7200.376542;4148.398759;6346.262189;6642.428522;4508.021448;4515.2484;3646.465442;5864.083592;9705.173926;1893.439229;5003.67155;4682.437178;5137.308112;2954.824527;15561.64613;2690.929695;14067.95617;3917.656011;4599.034905;5448.844656;4844.402576;6244.90726;2732.455135;3567.64983;5743.986537;5957.627258;3280.116601;6184.884749;2668.164712;8322.582668;4218.083033;2235.953142;10146.36477;14872.84198;3457.162616;4660.86313599999;6096.845063;7393.697629;5916.520225;1109.737647;5764.318538
Algiers;4822.610889;4134.430118;821.0569863;5652.753963;0;2808.928967;2115.337299;1236.381893;2643.723875;11564.76535;18738.58504;7129.547846;4170.17437;7454.790987;2264.802247;4548.790889;4350.350637;956.0806738;7691.518029;7324.391042;2530.256606;1951.507815;6209.698428;7430.850886;7515.44773;2667.495919;1580.706379;8278.857574;1692.50013;5214.106029;1022.874466;6108.278332;3812.678424;5802.995385;6875.606219;1003.933865;2673.455469;2040.186706;9908.682387;6981.252364;5350.81007;15593.94365;5693.625146;7192.859079;6344.673828;6097.409386;5100.427557;1703.254683;757.5707185;1512.503226;3229.51415;6784.939736;14679.3064;5373.882725;6443.266761;5471.655449;2352.601418;5684.726249;4961.82161;18746.4527;9920.679954;7567.233605;4241.465834;6964.895324;10620.54664;9860.34909;8508.163885;3669.683928;17276.06241;5709.400206;11751.23858;2579.695897;5709.652658;3659.256305;6327.420556;2848.461537;2755.008171;17196.37585;6643.97383;7005.673835;9994.286556;4209.63478;9587.72878;1969.675542;5554.698802;8695.663782;495.8417801;4365.65363;3675.694972;715.8371903;10279.09795;8198.194699;612.7325778;10709.56168;1890.84634;523.3442586;8372.618773;10826.55163;8986.226375;5786.55004;8967.928829;11443.702;7114.756362;4671.819862;7267.258193;9013.026487;2118.499325;6104.180074;2750.807745;11457.31905;9972.212509;2742.960932;7385.168942;8318.479712;3717.803861;6174.00134;1670.87517;4605.855056;16803.52217;16354.55813;5862.333855;5902.825907;1533.356502;6611.634973;3009.241304;16873.12748;8974.655223;8858.379225;16827.43396;4029.461606;893.1352892;8429.603498;16152.84025;5633.071344;2115.337299;4257.317869;4876.363444;9884.995096;11847.37694;9930.047946;3969.193002;1984.146744;3545.663335;5709.56869;1490.600328;4185.044732;12869.0903;5790.729616;5813.103218;1587.785738;6893.512921;10054.2968;5938.617288;3571.283794;1585.309756;10025.06518;4903.092885;1643.260672;1781.970584;10724.14447;2824.350104;15986.18824;2961.845007;11947.02713;6578.295419;3330.326004;9142.880557;3855.376601;7463.706325;3070.35766;4126.10313;1100.03135;1040.233451;3827.393712;1561.732671;3567.088151;6630.442592;1920.746554;3664.503336;14650.405;17324.91607;7667.34252;8682.442931;793.9634112;7066.80212;1082.074402;5343.999176;1282.140919
Amman;3554.762032;6282.634285;3577.814798;6123.245528;2808.928967;0;4533.793274;3894.821284;181.7198784;12504.33159;17064.04899;6636.864066;4233.897597;6070.75921;724.7184658;4181.638814;3301.27901;3315.988979;4896.081724;4549.795645;4024.54536;3554.762032;4985.599653;6750.440758;4740.398665;444.9050212;1256.773415;6138.295788;1684.257823;2445.220698;1920.753512;3884.818969;5452.722501;7565.524988;6154.88353;2112.377446;3412.166624;3356.248204;9958.462145;8138.620274;6238.86167;12850.3695;3842.812558;6506.134094;5973.318647;4651.268905;6148.953486;3556.673267;2423.018461;2897.524721;3004.117145;4096.213465;12678.80896;5483.954716;7229.706595;4862.448528;4651.268905;3656.589165;3031.337271;16023.27789;11383.22152;5564.838364;1697.92961;4325.177367;8342.994461;11128.90497;6786.704358;4747.12528;14537.38491;3313.341505;9730.270833;1112.262553;3615.256245;4122.792989;3648.078918;2901.169782;3028.206809;14402.19954;5685.692206;8765.591743;7731.674425;3168.605657;9099.886399;4121.125877;6342.417316;7354.81487;2484.483162;6178.29687;6089.489379;3488.294474;12071.80593;9477.158454;3084.220751;8167.708348;4379.206585;2289.218318;7183.478518;11715.31327;7188.005043;5385.089375;6159.248108;12793.8009;8375.204396;2798.592162;8350.292413;6590.8634;758.1692944;6181.55201;4808.2651;12056.76027;10815.02339;1341.887015;8231.268791;6846.637088;5531.424633;3793.855425;4229.441401;5230.480511;14007.5842;13724.95722;5406.372192;3852.45168;1561.734257;4581.774184;5474.148662;14122.16872;6548.811504;7444.892146;14372.58662;1526.912807;2291.129666;5744.821518;13551.47314;3256.028692;4623.5737;6070.26943;6209.51709;11252.81592;9171.85418;8936.653532;5365.091772;829.4428951;1946.61409;4045.547801;1479.258841;1886.626805;10060.31023;2989.88896;4037.459965;1440.631104;4264.640918;9586.558621;3989.469222;5791.142992;1226.293825;7221.396838;6352.212189;1571.952649;4327.204267;11021.11264;4346.66069;13497.19899;3994.84274;9571.47068;4968.745001;1681.49516;7338.172804;1826.835737;5011.972021;4537.200765;6317.109768;1709.176635;1814.340449;5897.706364;1358.446533;5261.671101;3838.683381;2237.425537;5036.920685;16266.94808;14618.38102;6503.712773;10372.11934;2173.576937;4311.503135;1755.934192;5284.935791;1526.912807
Amsterdam/The Hague (seat of Gvnt);5016.339542;2027.82954;1389.892178;4346.337477;2115.337299;4533.793274;0;938.0273258;4406.149715;9588.993682;16811.26257;6268.706034;3550.595574;7233.663457;4179.111475;4140.461583;4521.221182;1257.939978;9341.225261;8673.433573;1432.833207;1325.908009;6061.715219;6663.689112;9229.120265;4238.083551;3310.436188;8647.355162;3789.515733;6665.026672;2642.990415;6823.417703;2000.432609;3755.326194;6222.270033;3114.335149;2258.754816;1639.507543;8397.370589;5120.088561;3806.32346;16243.95309;6148.178713;6465.065974;5520.765201;6147.488691;3486.42933;1119.501047;2137.108545;1760.878997;3267.464584;7978.636636;14143.85206;4382.774441;4823.564234;5001.453762;303.346247;6289.684177;5623.673135;19002.61194;7857.888255;7879.190843;5525.322631;8066.309305;10911.40216;7844.467441;8440.197162;2377.515873;17466.03276;6645.138266;11621.63819;3840.102467;6367.618652;2912.369105;7539.279585;2904.699288;2695.611896;18332.63437;6210.332903;4929.433871;10327.07064;4421.567972;8429.35885;554.5558799;4046.51007;8273.845518;2163.67494;2371.278349;1589.657819;1496.466137;8168.005629;6229.739449;1568.921069;11371.0779;244.5568342;2473.811162;7867.983136;8892.688276;8933.014347;5090.547383;10450.26428;9376.262265;5200.418922;5354.909631;5422.744485;9638.944254;3775.640401;4997.785426;836.4389242;9596.076734;8089.681878;3859.201142;5648.201114;8054.184676;1794.901362;7035.161587;488.4252519;3403.920813;18026.53087;18225.82459;5191.842179;6491.258924;3593.872815;7075.582224;943.9703508;18360.6407;10998.77111;8477.33884;16443.06217;5316.969029;3008.164572;9507.978971;16255.91131;6560.326598;204.7670284;2271.880491;3107.36474;7843.628484;12682.56764;9089.792138;2314.694535;3740.707728;4383.498056;6008.652428;3512.622954;5290.550644;14259.9211;7305.910568;6183.8963;3620.561601;7984.167527;8836.822045;6433.452724;1461.503474;3440.354279;11403.55954;3059.309039;2993.047778;390.2572826;9029.552797;1486.033647;18023.46906;2056.619701;14009.65178;6679.466785;4286.486532;9077.828306;4860.156967;8268.02161;1657.560892;2013.560893;2998.157774;3048.294428;1751.769383;3548.410482;1763.601204;8311.256856;2602.813343;2111.372427;12535.67298;18891.47725;7236.890904;6595.342517;2893.219471;8376.557371;3064.440135;4486.197648;3152.294836
Andorra la Vella;5093.232782;2959.15882;454.5700947;5049.951742;1236.381893;3894.821284;938.0273258;0;3746.498873;10523.06576;17749.26202;6824.718258;3939.384725;7539.011516;3438.549092;4457.023416;4592.915998;654.1332402;8784.267511;8272.250553;1902.004911;1488.638663;6314.420323;7187.695485;8635.212498;3666.705604;2638.629601;8715.306735;2928.841679;6191.797686;1976.440852;6704.644488;2861.413392;4692.877087;6692.768387;2238.259205;2466.914198;1746.102059;9212.904518;6023.795033;4594.222521;16312.76409;6135.597519;6970.085559;6049.566178;6315.298986;4296.085557;1176.472364;1486.404158;1535.806654;3342.217466;7648.460606;14680.0579;4958.23936;5650.298649;5369.891131;1218.957141;6211.696662;5505.572306;19830.0495;8795.234633;7961.291807;5116.700046;7782.448733;11045.32313;8781.415869;8698.095359;3021.665604;17838.6761;6420.641886;11950.03309;3396.289019;6266.908294;3329.722565;7195.036902;2945.762211;2773.613177;18234.67235;6588.562405;5866.381213;10434.10467;4471.394827;9124.432141;1030.221388;4824.024048;8679.192949;1415.660058;3297.506195;2446.977617;563.8012526;9086.939651;7159.70304;810.8234653;11339.14707;695.6137174;1672.032697;8301.952309;9820.206194;9191.540532;5557.511946;9992.863456;10312.71521;6117.614985;5220.662094;6323.150284;9601.885987;3151.811561;5632.475949;1707.163101;10511.2379;9006.259647;3480.395253;6518.772952;8390.426335;2694.395803;6851.939245;455.4081276;4044.153316;17846.53543;17575.52573;5650.194515;6424.68314;2762.738911;7076.103147;1779.620085;18013.10924;10205.86388;8868.535171;16995.01744;4902.589912;2114.940848;9251.503184;16591.37701;6338.389581;895.2959951;3195.345972;3969.045114;8781.645906;12583.24967;9672.773135;3118.070654;3070.226825;4150.232157;6062.998022;2705.200534;4960.774498;13885.01945;6806.625035;6209.782827;2807.606794;7704.564373;9556.624096;6408.342092;2392.222764;2716.423313;11009.64719;3946.070468;2464.316302;564.6459882;9902.658477;2095.349422;17222.50455;2492.080031;13183.40495;6835.116766;3996.351193;9343.482828;4566.050522;8129.28093;2319.869547;2938.766964;2241.694181;2242.297589;2689.746569;2761.232104;2615.582723;7730.914555;2325.604863;2864.227674;13430.92244;18511.9972;7630.871414;7529.463891;2030.132945;7992.577122;2271.46394;5007.909754;2413.271096
Ankara;3659.537943;6185.259374;3420.390698;6140.612035;2643.723875;181.7198784;4406.149715;3746.498873;0;12530.67535;17245.5835;6720.493523;4255.713631;6203.466312;548.7951066;4232.382228;3386.065641;3178.175637;5053.315662;4726.926867;3948.202514;3462.542096;5102.158906;6846.263274;4891.085141;484.2098311;1109.02272;6308.10854;1505.970458;2624.30992;1778.276728;4052.562323;5385.089375;7503.991258;6249.154213;1931.890739;3370.516072;3276.214124;10028.68031;8124.297456;6229.307822;13027.13427;3989.469222;6600.747844;6044.29682;4778.979163;6127.753413;3450.142114;2283.765772;2798.521707;3019.197439;4277.671304;12853.79952;5518.952852;7234.902979;4938.350019;4532.544186;3812.669963;3176.380167;16176.13238;11363.78641;5727.38508;1873.099451;4506.89247;8520.074293;11123.01811;6939.766497;4708.728874;14713.3633;3487.431682;9901.525514;1130.79166;3774.931557;4115.371446;3829.724567;2891.882638;3007.139717;14561.6645;5791.142992;8710.311986;7907.797857;3250.252432;9197.494949;4006.405695;6340.526852;7490.970034;2332.72494;6104.621844;5970.612493;3329.111454;12028.71151;9461.725042;2936.953532;8349.29891;4245.728163;2126.300236;7310.851394;11740.46231;7345.777589;5452.722501;6326.746049;12791.01936;8354.970005;2936.953532;8342.489635;6770.174546;642.710148;6225.341454;4706.788929;12103.92534;10838.1879;1378.913738;8239.152577;6987.520004;5452.722501;3968.484501;4090.154412;5228.345792;14167.29095;13862.2842;5477.752653;4010.892929;1380.055303;4742.375245;5348.52108;14274.03582;6648.680536;7585.115191;14554.25804;1697.92961;2110.854967;5925.989535;13732.28484;3429.072113;4490.274713;5995.804805;6169.430757;11240.04813;9352.518844;9061.246314;5312.973127;676.302596;2043.008543;4182.138466;1298.185872;2045.712392;10225.72577;3163.13832;4180.892004;1258.916384;4446.31658;9685.473028;4142.897072;5685.692206;1058.622236;7392.149133;6305.270085;1472.999723;4189.46899;11081.84906;4273.759075;13620.81996;3947.192014;9673.863996;5108.250915;1771.981378;7496.628871;1961.064344;5190.833577;4470.564051;6216.689378;1543.80073;1640.38174;5803.774773;1178.101753;5188.562433;3994.072477;2175.05042;4982.764596;16270.8793;14765.65584;6626.320519;10329.7828;1996.569104;4490.433289;1583.352696;5329.018258;1361.983938
Antananarivo;9256.010992;7620.24491;10966.11314;6393.378234;11564.76535;12504.33159;9588.993682;10523.06576;12530.67535;0;7238.697103;6184.98673;8274.964843;7569.042861;12751.63319;8346.842041;9344.963658;10608.99394;13444.8404;12188.31677;9104.201957;9694.567251;8133.13915;6249.05066;13745.41601;12063.04627;11945.45152;8995.578285;12968.50655;12373.07409;11523.92315;10229.47595;7752.433425;5840.872796;6765.081915;12443.61532;9338.518293;9718.337032;2966.829355;4604.289392;6397.947747;9392.365778;9627.171177;6450.912401;6689.563902;8606.42582;6574.455282;9890.781695;11181.99192;10305.24;9512.591733;11632.93239;6663.017702;7022.703588;5334.951238;7794.988148;9304.254622;9991.570127;10209.45708;9417.374397;1913.164129;8943.211261;11723.49031;11327.38294;8522.218218;1764.863427;7722.994413;8057.408519;8854.118376;10851.61768;7248.664588;11400.82341;10120.71294;8462.837467;11684.0862;9672.421796;9592.95926;9993.994931;7347.19034;4727.353293;8695.618637;9454.715673;4274.581484;9605.747748;6249.05066;6697.599095;11373.22478;7228.929845;8298.572664;11066.80617;2343.164358;3369.909047;10952.25751;9641.266006;9833.490875;11713.18328;6558.71278;790.715576;7679.265893;7235.148846;12670.67998;976.942476;4452.091315;10286.49138;4334.200811;9680.958622;12043.62563;6342.549613;8840.600378;823.8469651;1694.54766;11162.52062;4329.847778;7223.872748;7857.112144;10624.82602;10077.36146;7347.19034;10178.80233;11278.60982;7239.378496;9923.257573;12690.47293;9504.135091;8903.258548;10485.58718;15803.44019;6773.058812;7847.229681;11702.44115;12403.8097;11190.63695;8451.437315;10830.39837;9670.723679;7333.391883;6709.713984;1827.845307;10076.3772;5184.695749;7626.191597;12197.20497;10678.14299;9264.04688;12539.57334;11265.71396;11610.06973;12690.47293;9408.655737;12643.42952;11293.66721;3933.172095;9685.300941;8174.813708;12198.48697;12140.62011;6665.091966;11350.2952;9975.694308;1890.42228;8784.070225;11876.18224;8839.640902;14965.63754;8599.579475;10903.87285;7620.24491;11017.88471;10370.78766;8541.07457799999;7664.542497;11993.93721;12174.22431;7842.972541;12494.17048;7997.707491;13497.88562;10554.28937;7947.701151;3796.949631;10390.98661;6975.723782;3197.511105;12211.54952;12040.10711;12148.37375;7235.148846;12051.50573
