;Abu Dhabi;Abuja;Accra;Addis Ababa;Algiers;Amman;Amsterdam/The Hague (seat of Gvnt);Andorra la Vella;Ankara;Antananarivo;Apia;Ashgabat;Asmara;Astana;Asuncion;Athens;Baghdad;Baku;Bamako;Bandar Seri Begawan;Bangkok;Bangui;Banjul;Basseterre;Basse-Terre;Beijing;Beirut;Belgrade;Belmopan;Bern;Bishkek;Bissau;Bogota;Brasilia;Bratislava;Brazzaville;Bridgetown;Brussels;Bucuresti;Budapest;Buenos Aires;Bujumbura;Cairo;Canberra;Caracas;Castries;Cayenne;Charlotte Amalie;Chisinau;Conakry;Copenhagen;Dakar;Damascus;Dhaka;Dili;Djibouti;Dodoma;Doha;Dublin;Dushanbe;Fort-de-France;Funafuti;Gaborone;George Town;Georgetown;Guatemala;Hanoi;Harare;Havana;Helsinki;Honiara;Islamabad;Jakarta;Jerusalem;Kabul;Kampala;Kathmandu;Khartoum;Kiev (Rus);Kigali;Kingston;Kingstown;Kinshasa;Koror;Kuala Lumpur;Kuwait;La Paz (adm.)/sucre (legislative);Libreville;Lilongwe;Lima;Lisbon;Ljubljana;Lome;London;Luanda;Lusaka;Luxembourg;Macau
Abu Dhabi;0;5577.875431;5118.658394;3354.771271;4822.610889;3554.762032;5016.339542;5093.232782;3659.537943;9256.010992;14250.2013;3130.721236;1911.591873;2676.994414;4238.917559;4109.440236;1349.486066;501.1884302;4491.500749;5638.275636;4452.778079;3643.45134;3716.275635;1472.896726;3202.528247;5729.681571;3189.382139;3768.944689;3640.233156;4872.295597;3318.002342;3914.903692;2016.037167;8371.564017;4349.786091;5875.222097;2612.255405;4869.342435;2758.65914;3410.43976;6482.552377;5585.96791;3874.268275;11266.52981;1187.768028;2961.380084;2566.929004;1275.951523;3999.025628;3988.867362;4066.686363;3570.340897;1763.264477;3624.239994;9858.589968;2556.882168;4495.088251;1478.689255;4889.643291;1450.790328;1107.264505;14740.13778;8635.354859;2876.694481;2470.390568;3548.124995;5953.483243;8240.041989;3685.921243;3318.739096;12749.82979;2194.424171;6939.319722;2682.465776;1576.491628;2401.169793;3322.696704;2152.080893;2341.036071;9927.38294;13332.72127;2131.688896;6789.033166;8037.567578;5346.864854;624.5257878;5547.178936;4466.812828;3835.320613;3963.410508;4328.037005;5001.833585;5923.227591;5106.153;9572.22179;6817.663743;4563.528501;6356.722314
Abuja;5577.875431;0;3413.515818;3457.162616;4134.430118;6282.634285;2027.82954;2959.15882;6185.259374;7620.24491;14795.72987;5581.634122;3704.399501;7069.949649;5785.2413;6056.64728;4334.996058;5159.752552;3225.561404;10782.37817;9852.542866;2324.55493;2729.428926;6130.411042;6023.819102;10742.51035;5917.784555;5151.428573;8888.416407;5783.765276;8073.278115;4516.590788;7585.16958;6987.778526;1234.693381;1792.097271;5760.12053;5124.015031;3169.839302;2953.612962;6851.524694;3364.393038;2702.049393;15720.25317;6762.140424;5891.907735;4985.098338;6392.005287;2354.836368;2743.255654;4035.060862;3386.827552;4120.632;9062.226379;12994.24701;3881.003332;3426.54033;4935.988324;1782.892082;7017.790359;6488.415292;17010.28905;5842.995507;8149.708858;6894.052623;9057.108207;10844.51881;5860.390129;8284.925547;2261.143086;16173.98013;7619.586838;11083.21528;5385.967933;7132.44344;3177.927684;8674.520423;3896.942457;3681.516356;7404.640547;17372.99128;5974.636712;2915.005469;13596.99997;10361.05206;5116.141666;7219.780326;2234.750565;2941.212389;7794.662078;4120.144645;784.0995937;797.8092741;3521.639267;6144.693579;4306.307521;3560.697129;11623.71869
Accra;5118.658394;3413.515818;0;5373.127932;821.0569863;3577.814798;1389.892178;454.5700947;3420.390698;10966.11314;18199.53522;7063.263375;4131.909529;7648.16798;7801.133422;3072.681614;4606.92274;4624.050332;651.0744621;8473.367238;8035.20291;2195.462892;1702.472932;6409.383111;7407.77345;8308.560344;3388.967696;2325.217157;8698.299327;2502.942998;5935.324692;1689.312815;6615.084722;10255.66021;3272.067352;5141.933768;6890.194749;1808.426442;2624.331991;1908.549748;9577.221056;6446.054852;4960.440038;16212.22226;6103.792848;7182.330993;6280.807391;6369.076159;4674.355082;1394.344197;1243.858952;1560.373187;3403.922887;7449.063719;14854.48529;5221.947211;6030.853216;5531.234189;1663.942404;6147.192528;5430.064344;19566.15586;9247.766199;7957.477161;4902.487135;7604.014656;11042.2557;9228.743912;8774.459827;3342.720033;17835.62414;6282.631823;12037.3729;3192.606817;6190.728594;3548.250334;6992.423227;3005.011173;2857.409026;10817.27143;17978.78939;6741.801729;6319.291808;12211.29807;10422.65251;4494.174902;9422.089017;1408.713338;5183.922323;8829.304398;1103.283265;3737.512914;2893.673496;111.2262553;9540.513933;7599.610084;583.7914265;11253.40984
Addis Ababa;3354.771271;3457.162616;5373.127932;0;5652.753963;6123.245528;4346.337477;5049.951742;6140.612035;6393.378234;13091.37031;2124.544577;1890.84634;3753.6938;2491.793831;6366.393139;2105.585866;3221.255406;4798.100528;8948.137566;7687.753512;3179.499181;3718.515186;3109.557556;2567.334202;9065.202809;5679.295298;5603.606909;5734.461796;6704.207093;6647.989929;5286.823144;5159.200342;5520.606203;2485.585419;2827.771152;2354.836368;6310.251795;3060.954556;3614.929463;4257.399384;2233.147655;786.214144;12322.99434;4292.122712;2445.468413;1589.487867;3522.461388;1111.583269;4003.121668;5061.669069;4174.500947;3121.484546;6864.793494;9826.631751;801.0110348;1160.982393;2031.315292;4060.949447;4654.998925;4461.73162;14808.04813;5383.690895;5079.921975;5663.76811;6719.327498;7443.033522;5054.095027;4917.555395;2031.315292;13160.80633;5504.781659;7634.002241;5013.594379;4798.882092;2105.585866;6624.681771;3286.719414;3226.811002;6821.243307;14236.39196;2693.102074;3504.990483;10560.56253;7010.136481;3288.37535;4086.374006;4026.599469;598.8667843;4342.61577;5306.242171;2674.846697;4166.495647;5436.731783;6257.21465;3503.877642;5087.877618;8332.427254
Algiers;4822.610889;4134.430118;821.0569863;5652.753963;0;2808.928967;2115.337299;1236.381893;2643.723875;11564.76535;18738.58504;7129.547846;4170.17437;7454.790987;7975.005177;2264.802247;4548.790889;4350.350637;956.0806738;7691.518029;7324.391042;2530.256606;1951.507815;6209.698428;7430.850886;7515.44773;2667.495919;1580.706379;8278.857574;1692.50013;5214.106029;1022.874466;6108.278332;10807.72064;3812.678424;5802.995385;6875.606219;1003.933865;2673.455469;2040.186706;9908.682387;6981.252364;5350.81007;15593.94365;5693.625146;7192.859079;6344.673828;6097.409386;5100.427557;1703.254683;757.5707185;1512.503226;3229.51415;6784.939736;14679.3064;5373.882725;6443.266761;5471.655449;2352.601418;5684.726249;4961.82161;18746.4527;9920.679954;7567.233605;4241.465834;6964.895324;10620.54664;9860.34909;8508.163885;3669.683928;17276.06241;5709.400206;11751.23858;2579.695897;5709.652658;3659.256305;6327.420556;2848.461537;2755.008171;11505.89282;17196.37585;6643.97383;7005.673835;11484.68479;9994.286556;4209.63478;9587.72878;1969.675542;5554.698802;8695.663782;495.8417801;4365.65363;3675.694972;715.8371903;10279.09795;8198.194699;612.7325778;10709.56168
Amman;3554.762032;6282.634285;3577.814798;6123.245528;2808.928967;0;4533.793274;3894.821284;181.7198784;12504.33159;17064.04899;6636.864066;4233.897597;6070.75921;7720.235856;724.7184658;4181.638814;3301.27901;3315.988979;4896.081724;4549.795645;4024.54536;3554.762032;4985.599653;6750.440758;4740.398665;444.9050212;1256.773415;6138.295788;1684.257823;2445.220698;1920.753512;3884.818969;11620.89792;5452.722501;7565.524988;6154.88353;2112.377446;3412.166624;3356.248204;9958.462145;8138.620274;6238.86167;12850.3695;3842.812558;6506.134094;5973.318647;4651.268905;6148.953486;3556.673267;2423.018461;2897.524721;3004.117145;4096.213465;12678.80896;5483.954716;7229.706595;4862.448528;4651.268905;3656.589165;3031.337271;16023.27789;11383.22152;5564.838364;1697.92961;4325.177367;8342.994461;11128.90497;6786.704358;4747.12528;14537.38491;3313.341505;9730.270833;1112.262553;3615.256245;4122.792989;3648.078918;2901.169782;3028.206809;12909.81626;14402.19954;5685.692206;8765.591743;8683.019385;7731.674425;3168.605657;9099.886399;4121.125877;6342.417316;7354.81487;2484.483162;6178.29687;6089.489379;3488.294474;12071.80593;9477.158454;3084.220751;8167.708348
Amsterdam/The Hague (seat of Gvnt);5016.339542;2027.82954;1389.892178;4346.337477;2115.337299;4533.793274;0;938.0273258;4406.149715;9588.993682;16811.26257;6268.706034;3550.595574;7233.663457;6836.432654;4179.111475;4140.461583;4521.221182;1257.939978;9341.225261;8673.433573;1432.833207;1325.908009;6061.715219;6663.689112;9229.120265;4238.083551;3310.436188;8647.355162;3789.515733;6665.026672;2642.990415;6823.417703;8899.909441;2000.432609;3755.326194;6222.270033;3114.335149;2258.754816;1639.507543;8397.370589;5120.088561;3806.32346;16243.95309;6148.178713;6465.065974;5520.765201;6147.488691;3486.42933;1119.501047;2137.108545;1760.878997;3267.464584;7978.636636;14143.85206;4382.774441;4823.564234;5001.453762;303.346247;6289.684177;5623.673135;19002.61194;7857.888255;7879.190843;5525.322631;8066.309305;10911.40216;7844.467441;8440.197162;2377.515873;17466.03276;6645.138266;11621.63819;3840.102467;6367.618652;2912.369105;7539.279585;2904.699288;2695.611896;9428.407456;18332.63437;6210.332903;4929.433871;12789.25958;10327.07064;4421.567972;8429.35885;554.5558799;4046.51007;8273.845518;2163.67494;2371.278349;1589.657819;1496.466137;8168.005629;6229.739449;1568.921069;11371.0779
Andorra la Vella;5093.232782;2959.15882;454.5700947;5049.951742;1236.381893;3894.821284;938.0273258;0;3746.498873;10523.06576;17749.26202;6824.718258;3939.384725;7539.011516;7508.31688;3438.549092;4457.023416;4592.915998;654.1332402;8784.267511;8272.250553;1902.004911;1488.638663;6314.420323;7187.695485;8635.212498;3666.705604;2638.629601;8715.306735;2928.841679;6191.797686;1976.440852;6704.644488;9822.892683;2861.413392;4692.877087;6692.768387;2238.259205;2466.914198;1746.102059;9212.904518;6023.795033;4594.222521;16312.76409;6135.597519;6970.085559;6049.566178;6315.298986;4296.085557;1176.472364;1486.404158;1535.806654;3342.217466;7648.460606;14680.0579;4958.23936;5650.298649;5369.891131;1218.957141;6211.696662;5505.572306;19830.0495;8795.234633;7961.291807;5116.700046;7782.448733;11045.32313;8781.415869;8698.095359;3021.665604;17838.6761;6420.641886;11950.03309;3396.289019;6266.908294;3329.722565;7195.036902;2945.762211;2773.613177;10363.29103;18234.67235;6588.562405;5866.381213;12447.52731;10434.10467;4471.394827;9124.432141;1030.221388;4824.024048;8679.192949;1415.660058;3297.506195;2446.977617;563.8012526;9086.939651;7159.70304;810.8234653;11339.14707
Ankara;3659.537943;6185.259374;3420.390698;6140.612035;2643.723875;181.7198784;4406.149715;3746.498873;0;12530.67535;17245.5835;6720.493523;4255.713631;6203.466312;7796.293725;548.7951066;4232.382228;3386.065641;3178.175637;5053.315662;4726.926867;3948.202514;3462.542096;5102.158906;6846.263274;4891.085141;484.2098311;1109.02272;6308.10854;1505.970458;2624.30992;1778.276728;4052.562323;11650.79576;5385.089375;7503.991258;6249.154213;1931.890739;3370.516072;3276.214124;10028.68031;8124.297456;6229.307822;13027.13427;3989.469222;6600.747844;6044.29682;4778.979163;6127.753413;3450.142114;2283.765772;2798.521707;3019.197439;4277.671304;12853.79952;5518.952852;7234.902979;4938.350019;4532.544186;3812.669963;3176.380167;16176.13238;11363.78641;5727.38508;1873.099451;4506.89247;8520.074293;11123.01811;6939.766497;4708.728874;14713.3633;3487.431682;9901.525514;1130.79166;3774.931557;4115.371446;3829.724567;2891.882638;3007.139717;12903.45727;14561.6645;5791.142992;8710.311986;8854.158865;7907.797857;3250.252432;9197.494949;4006.405695;6340.526852;7490.970034;2332.72494;6104.621844;5970.612493;3329.111454;12028.71151;9461.725042;2936.953532;8349.29891
Antananarivo;9256.010992;7620.24491;10966.11314;6393.378234;11564.76535;12504.33159;9588.993682;10523.06576;12530.67535;0;7238.697103;6184.98673;8274.964843;7569.042861;5082.060626;12751.63319;8346.842041;9344.963658;10608.99394;13444.8404;12188.31677;9104.201957;9694.567251;8133.13915;6249.05066;13745.41601;12063.04627;11945.45152;8995.578285;12968.50655;12373.07409;11523.92315;10229.47595;889.8100424;7752.433425;5840.872796;6765.081915;12443.61532;9338.518293;9718.337032;2966.829355;4604.289392;6397.947747;9392.365778;9627.171177;6450.912401;6689.563902;8606.42582;6574.455282;9890.781695;11181.99192;10305.24;9512.591733;11632.93239;6663.017702;7022.703588;5334.951238;7794.988148;9304.254622;9991.570127;10209.45708;9417.374397;1913.164129;8943.211261;11723.49031;11327.38294;8522.218218;1764.863427;7722.994413;8057.408519;8854.118376;10851.61768;7248.664588;11400.82341;10120.71294;8462.837467;11684.0862;9672.421796;9592.95926;1117.822589;9993.994931;7347.19034;4727.353293;11633.53413;8695.618637;9454.715673;4274.581484;9605.747748;6249.05066;6697.599095;11373.22478;7228.929845;8298.572664;11066.80617;2343.164358;3369.909047;10952.25751;9641.266006
